pathway,p_value,z_score,tissue
Notch signaling pathway,0.1442786069651741,0.0513697339261613,adipose_tissue
MAPK signaling pathway,0.0049751243781094,65.83346731228895,adipose_tissue
Ras signaling pathway,0.0049751243781094,193.85044180639252,adipose_tissue
Rap1 signaling pathway,0.0049751243781094,215.803520608588,adipose_tissue
JAK-STAT signaling pathway,0.0049751243781094,70.93599136035358,adipose_tissue
NF-kappa B signaling pathway,0.0696517412935323,0.6927478513921493,adipose_tissue
TNF signaling pathway,0.0099502487562189,7.896771141751063,adipose_tissue
HIF-1 signaling pathway,0.0049751243781094,35.42615714188003,adipose_tissue
FoxO signaling pathway,0.0547263681592039,1.0284238536511563,adipose_tissue
Calcium signaling pathway,0.0049751243781094,803.8475854591364,adipose_tissue
cAMP signaling pathway,0.0049751243781094,291.35807501521566,adipose_tissue
cGMP-PKG signaling pathway,0.0049751243781094,399.36698288626417,adipose_tissue
PI3K-Akt signaling pathway,0.0049751243781094,3053.117538271289,adipose_tissue
chr1p13,0.4171656686626746,-0.199253666214537,adipose_tissue
chr1p12,0.2435129740518962,-0.1198108241124395,adipose_tissue
chr1p31,0.9221556886227544,-0.1468185208938664,adipose_tissue
chr1q44,0.2974051896207584,-0.0754367067680173,adipose_tissue
chr1p35,0.2634730538922156,-0.0911224875496366,adipose_tissue
Notch signaling pathway,0.0895522388059701,0.38296522125854,aorta
MAPK signaling pathway,0.0497512437810945,1.3666690414544949,aorta
Ras signaling pathway,0.0099502487562189,4.646430447362276,aorta
Rap1 signaling pathway,0.0049751243781094,10.690551610501815,aorta
JAK-STAT signaling pathway,0.0248756218905472,2.3473910898940686,aorta
NF-kappa B signaling pathway,0.1840796019900497,0.2533879961751107,aorta
TNF signaling pathway,0.1741293532338308,0.4388934608555397,aorta
HIF-1 signaling pathway,0.044776119402985,1.2760796210030492,aorta
FoxO signaling pathway,0.0149253731343283,2.8878776334668816,aorta
Calcium signaling pathway,0.0497512437810945,1.572386120487714,aorta
cAMP signaling pathway,0.0049751243781094,10.837053541838786,aorta
cGMP-PKG signaling pathway,0.0049751243781094,17.90744291316452,aorta
PI3K-Akt signaling pathway,0.0149253731343283,2.450734758902353,aorta
chr1p13,0.7664670658682635,-0.2455343845058005,aorta
chr1p12,0.8083832335329342,-0.220313372852549,aorta
chr1p31,0.0758483033932135,0.8723309178653416,aorta
chr1q44,0.2295409181636726,-0.0164137019338817,aorta
chr1p35,0.6127744510978044,-0.2368550809894835,aorta
Notch signaling pathway,0.0099502487562189,5.662042445687995,cardiac_atrium
MAPK signaling pathway,0.0099502487562189,7.768202391137511,cardiac_atrium
Ras signaling pathway,0.0099502487562189,6.707120706685647,cardiac_atrium
Rap1 signaling pathway,0.0049751243781094,117.06758372762638,cardiac_atrium
JAK-STAT signaling pathway,0.582089552238806,-0.1466675065062737,cardiac_atrium
NF-kappa B signaling pathway,0.1144278606965174,-0.0377687509652493,cardiac_atrium
TNF signaling pathway,0.0049751243781094,93.84586031552398,cardiac_atrium
HIF-1 signaling pathway,0.0149253731343283,5.732766073705295,cardiac_atrium
FoxO signaling pathway,0.9701492537313432,-0.2251751834701283,cardiac_atrium
Calcium signaling pathway,0.0049751243781094,87.57865186565796,cardiac_atrium
cAMP signaling pathway,0.4875621890547263,-0.1613442287634746,cardiac_atrium
cGMP-PKG signaling pathway,0.0049751243781094,70.11998334818087,cardiac_atrium
PI3K-Akt signaling pathway,0.0049751243781094,102.17658722590984,cardiac_atrium
chr1p13,0.5948103792415169,-0.1358984536437739,cardiac_atrium
chr1p12,0.279441117764471,-0.0769388294734736,cardiac_atrium
chr1p31,0.8263473053892215,-0.114123998788446,cardiac_atrium
chr1q44,0.5748502994011976,-0.1466511137627167,cardiac_atrium
chr1p35,0.4570858283433133,-0.1254937727582574,cardiac_atrium
Notch signaling pathway,0.0348258706467661,1.211761025933784,exocrine_pancreas
MAPK signaling pathway,0.0049751243781094,25.09120443745195,exocrine_pancreas
Ras signaling pathway,0.0049751243781094,41.74141924088634,exocrine_pancreas
Rap1 signaling pathway,0.0049751243781094,111.00442277223353,exocrine_pancreas
JAK-STAT signaling pathway,0.1144278606965174,0.0715917624072576,exocrine_pancreas
NF-kappa B signaling pathway,0.0696517412935323,0.6345338168602137,exocrine_pancreas
TNF signaling pathway,0.0049751243781094,17.788804457032686,exocrine_pancreas
HIF-1 signaling pathway,0.0099502487562189,4.300224280141823,exocrine_pancreas
FoxO signaling pathway,0.0199004975124378,1.6565983415356766,exocrine_pancreas
Calcium signaling pathway,0.0049751243781094,55.54414044660589,exocrine_pancreas
cAMP signaling pathway,0.1393034825870646,-0.0413970378459732,exocrine_pancreas
cGMP-PKG signaling pathway,0.0547263681592039,0.2342399416676487,exocrine_pancreas
PI3K-Akt signaling pathway,0.0049751243781094,325.6390692823926,exocrine_pancreas
chr1p13,0.5249500998003992,-0.0985361398412034,exocrine_pancreas
chr1p12,0.1536926147704591,-0.1001057802286577,exocrine_pancreas
chr1p31,0.8522954091816367,-0.1153163805829304,exocrine_pancreas
chr1q44,0.6826347305389222,-0.1370104193972778,exocrine_pancreas
chr1p35,0.4031936127744511,-0.0874863778192661,exocrine_pancreas
Notch signaling pathway,0.6517412935323383,-0.2890526887636383,lung
MAPK signaling pathway,0.0199004975124378,2.457677662235693,lung
Ras signaling pathway,0.0149253731343283,1.7732932690432486,lung
Rap1 signaling pathway,0.0049751243781094,253.95028403130783,lung
JAK-STAT signaling pathway,0.0099502487562189,3.2497606500509404,lung
NF-kappa B signaling pathway,0.0597014925373134,0.7960494985888454,lung
TNF signaling pathway,0.0099502487562189,5.834636416569637,lung
HIF-1 signaling pathway,0.0049751243781094,13.82978760895957,lung
FoxO signaling pathway,0.0149253731343283,4.527204076740393,lung
Calcium signaling pathway,0.0049751243781094,66.26193499695204,lung
cAMP signaling pathway,0.0049751243781094,118.3864199102738,lung
cGMP-PKG signaling pathway,0.0049751243781094,28.6341862719336,lung
PI3K-Akt signaling pathway,0.0049751243781094,22.148711659778503,lung
chr1p13,0.311377245508982,-0.097585506130756,lung
chr1p12,0.942115768463074,-0.1534735337839652,lung
chr1p31,0.4311377245508982,-0.102161914015353,lung
chr1q44,0.9001996007984032,-0.2421458007097732,lung
chr1p35,0.3073852295409182,-0.0671270088434439,lung
Notch signaling pathway,0.4527363184079602,-0.1381035222060906,muscle_of_pelvic_diaphragm
MAPK signaling pathway,0.0298507462686567,0.9385587113577436,muscle_of_pelvic_diaphragm
Ras signaling pathway,0.0149253731343283,2.1116907601315216,muscle_of_pelvic_diaphragm
Rap1 signaling pathway,0.0049751243781094,27.813325604333308,muscle_of_pelvic_diaphragm
JAK-STAT signaling pathway,0.2885572139303483,-0.0598210484618502,muscle_of_pelvic_diaphragm
NF-kappa B signaling pathway,0.0248756218905472,2.041550251000717,muscle_of_pelvic_diaphragm
TNF signaling pathway,0.0149253731343283,2.3399605680532702,muscle_of_pelvic_diaphragm
HIF-1 signaling pathway,0.0099502487562189,1.953656359216159,muscle_of_pelvic_diaphragm
FoxO signaling pathway,0.0696517412935323,0.7803886786180385,muscle_of_pelvic_diaphragm
Calcium signaling pathway,0.0746268656716417,0.4450217561934653,muscle_of_pelvic_diaphragm
cAMP signaling pathway,0.0298507462686567,2.5541400725935453,muscle_of_pelvic_diaphragm
cGMP-PKG signaling pathway,0.0049751243781094,8.900040857316641,muscle_of_pelvic_diaphragm
PI3K-Akt signaling pathway,0.0049751243781094,27.577877647408965,muscle_of_pelvic_diaphragm
chr1p13,0.2674650698602794,-0.0540839117669341,muscle_of_pelvic_diaphragm
chr1p12,0.780439121756487,-0.122724331726869,muscle_of_pelvic_diaphragm
chr1p31,0.7465069860279441,-0.3195685603783503,muscle_of_pelvic_diaphragm
chr1q44,0.0159680638722554,0.7330781670238732,muscle_of_pelvic_diaphragm
chr1p35,0.7624750499001997,-0.316364359352939,muscle_of_pelvic_diaphragm
Notch signaling pathway,0.7263681592039801,-0.3379619717878306,muscle_tissue
MAPK signaling pathway,0.0199004975124378,2.583931402957849,muscle_tissue
Ras signaling pathway,0.0248756218905472,3.3942251610479914,muscle_tissue
Rap1 signaling pathway,0.0049751243781094,18.64905302629029,muscle_tissue
JAK-STAT signaling pathway,0.4029850746268656,-0.1899663261343316,muscle_tissue
NF-kappa B signaling pathway,0.0199004975124378,1.786532145847179,muscle_tissue
TNF signaling pathway,0.0398009950248756,1.4107044598670708,muscle_tissue
HIF-1 signaling pathway,0.1044776119402985,0.5569116440022585,muscle_tissue
FoxO signaling pathway,0.4626865671641791,-0.3334747602096483,muscle_tissue
Calcium signaling pathway,0.0348258706467661,2.3465111214083256,muscle_tissue
cAMP signaling pathway,0.0248756218905472,1.9916391774738265,muscle_tissue
cGMP-PKG signaling pathway,0.0049751243781094,16.51573385283201,muscle_tissue
PI3K-Akt signaling pathway,0.0149253731343283,3.230898339384636,muscle_tissue
chr1p13,0.9321357285429142,-0.2391103007744187,muscle_tissue
chr1p12,0.3672654690618762,-0.1645043336461598,muscle_tissue
chr1p31,0.3752495009980039,-0.2087728292295503,muscle_tissue
chr1q44,0.8762475049900199,-0.2888599721337863,muscle_tissue
chr1p35,0.7644710578842315,-0.1897346447211177,muscle_tissue
Notch signaling pathway,0.8606965174129353,-0.1929033341182713,myometrium
MAPK signaling pathway,0.1840796019900497,0.1963917736654444,myometrium
Ras signaling pathway,0.0696517412935323,1.0906974404659429,myometrium
Rap1 signaling pathway,0.0049751243781094,57.41256476264568,myometrium
JAK-STAT signaling pathway,0.0099502487562189,1.6847302892380147,myometrium
NF-kappa B signaling pathway,0.0149253731343283,4.266261368290868,myometrium
TNF signaling pathway,0.0049751243781094,173.3037370400453,myometrium
HIF-1 signaling pathway,0.0049751243781094,460.0734417124957,myometrium
FoxO signaling pathway,0.0149253731343283,5.664842065094938,myometrium
Calcium signaling pathway,0.9701492537313432,-0.1715095376180346,myometrium
cAMP signaling pathway,0.1293532338308457,0.027310300246188,myometrium
cGMP-PKG signaling pathway,0.0049751243781094,25.317922789950646,myometrium
PI3K-Akt signaling pathway,0.0049751243781094,430979.5776743989,myometrium
chr1p13,0.4570858283433133,-0.1120795173231401,myometrium
chr1p12,0.4630738522954092,-0.0950515390113253,myometrium
chr1p31,0.8882235528942116,-0.1757932825674029,myometrium
chr1q44,0.5149700598802395,-0.1719060099614118,myometrium
chr1p35,0.5349301397205589,-0.1530739521778181,myometrium
Notch signaling pathway,0.4875621890547263,-0.1577729728677531,rectus_abdominis_muscle
MAPK signaling pathway,0.0049751243781094,11.789089848569107,rectus_abdominis_muscle
Ras signaling pathway,0.0049751243781094,18.92699744898779,rectus_abdominis_muscle
Rap1 signaling pathway,0.0049751243781094,31.788845353357093,rectus_abdominis_muscle
JAK-STAT signaling pathway,0.1194029850746268,0.8694316090444704,rectus_abdominis_muscle
NF-kappa B signaling pathway,0.0398009950248756,0.9093021932045569,rectus_abdominis_muscle
TNF signaling pathway,0.0199004975124378,3.061700982437272,rectus_abdominis_muscle
HIF-1 signaling pathway,0.0049751243781094,19.71447319870303,rectus_abdominis_muscle
FoxO signaling pathway,0.0248756218905472,3.179309045391514,rectus_abdominis_muscle
Calcium signaling pathway,0.0049751243781094,49.058322426597016,rectus_abdominis_muscle
cAMP signaling pathway,0.0049751243781094,10.842119723199724,rectus_abdominis_muscle
cGMP-PKG signaling pathway,0.0049751243781094,5.978137964114158,rectus_abdominis_muscle
PI3K-Akt signaling pathway,0.0049751243781094,107.00975622257516,rectus_abdominis_muscle
chr1p13,1.0,-0.4436876124454443,rectus_abdominis_muscle
chr1p12,0.9261477045908184,-0.1883243873929095,rectus_abdominis_muscle
chr1p31,0.405189620758483,-0.1366381496394398,rectus_abdominis_muscle
chr1q44,0.1756487025948103,-0.0497516516408797,rectus_abdominis_muscle
chr1p35,0.908183632734531,-0.4671418556621659,rectus_abdominis_muscle
Notch signaling pathway,0.044776119402985,0.4195881051845332,subcutaneous_adipose_tissue
MAPK signaling pathway,0.0049751243781094,23.1888990161478,subcutaneous_adipose_tissue
Ras signaling pathway,0.0049751243781094,79.46616413238654,subcutaneous_adipose_tissue
Rap1 signaling pathway,0.0049751243781094,325.2229190272566,subcutaneous_adipose_tissue
JAK-STAT signaling pathway,0.0248756218905472,1.175999601169581,subcutaneous_adipose_tissue
NF-kappa B signaling pathway,0.0199004975124378,1.7479065411741277,subcutaneous_adipose_tissue
TNF signaling pathway,0.0099502487562189,4.066837354938202,subcutaneous_adipose_tissue
HIF-1 signaling pathway,0.0099502487562189,4.425159056578066,subcutaneous_adipose_tissue
FoxO signaling pathway,0.0298507462686567,2.858813789202446,subcutaneous_adipose_tissue
Calcium signaling pathway,0.0049751243781094,316.7974628787252,subcutaneous_adipose_tissue
cAMP signaling pathway,0.0049751243781094,9.149724438032964,subcutaneous_adipose_tissue
cGMP-PKG signaling pathway,0.0049751243781094,171.337988328695,subcutaneous_adipose_tissue
PI3K-Akt signaling pathway,0.0049751243781094,110314.38271128452,subcutaneous_adipose_tissue
chr1p13,0.5049900199600799,-0.1367171966447082,subcutaneous_adipose_tissue
chr1p12,0.9860279441117764,-0.0857338479358526,subcutaneous_adipose_tissue
chr1p31,0.9820359281437124,-0.2695920143208672,subcutaneous_adipose_tissue
chr1q44,0.8243512974051896,-0.3880386901062567,subcutaneous_adipose_tissue
chr1p35,0.9241516966067864,-0.4975628052195739,subcutaneous_adipose_tissue
Notch signaling pathway,0.099502487562189,0.1785969005135121,thymus
MAPK signaling pathway,0.044776119402985,1.611298868361349,thymus
Ras signaling pathway,0.0049751243781094,15.709901160024314,thymus
Rap1 signaling pathway,0.0049751243781094,12.811367272559677,thymus
JAK-STAT signaling pathway,0.1044776119402985,0.1745800707982605,thymus
NF-kappa B signaling pathway,0.0099502487562189,3.828598747857269,thymus
TNF signaling pathway,0.0149253731343283,0.73631963537626,thymus
HIF-1 signaling pathway,0.0049751243781094,9.894491610502772,thymus
FoxO signaling pathway,0.0199004975124378,3.161268088292267,thymus
Calcium signaling pathway,0.0149253731343283,3.502433411781709,thymus
cAMP signaling pathway,0.0149253731343283,2.488101741343163,thymus
cGMP-PKG signaling pathway,0.0099502487562189,8.81136109903065,thymus
PI3K-Akt signaling pathway,0.0099502487562189,8.802767485449982,thymus
chr1p13,0.06187624750499,0.553938893563545,thymus
chr1p12,0.7325349301397206,-0.1511660372545241,thymus
chr1p31,0.2614770459081836,-0.046765750631829,thymus
chr1q44,0.810379241516966,-0.2233195347325511,thymus
chr1p35,0.7405189620758483,-0.4677994883329459,thymus
